Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Төлбөрийн нөхцөл,Цонхны тоо,Барилгын явц,Цахилгаан шаттай эсэх,price_text,price_numeric,area_numeric,address_text,district,url,Website
Паркет,1 тагттай,2013,Байхгүй,Вакум,16,Бүргэд,49.2 м²,2,Бэлэн төлөлтөөр зарах боломжтой,3,Ашиглалтад орсон,Цахилгаан шатгүй,205 сая₮үнэ тохирно,205.0,49.2,"УБ — Баянзүрх, 13-р хороолол",Баянзүрх,https://www.unegui.mn/adv/9582428_bzd-nogoon-togol-khotkhond-2-oroo-bair-zarna/,
Паркет,1 тагттай,2013,Байхгүй,Вакум,9,Төмөр,62.27 м²,7,Банкны зээлээр авах боломжтой,5,Ашиглалтад орсон,Цахилгаан шаттай,175 сая₮үнэ тохирно,175.0,62.27,"УБ — Баянзүрх, Баянзүрх, Хороо 42",Баянзүрх,https://www.unegui.mn/adv/9455013_bzd-42-r-khoroo-ogoomor-khotkhond-2-oroo-62-27ir/,
Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,52.0 м²,3,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,170 сая₮үнэ тохирно,170.0,52.0,"УБ — Баянгол, Баянгол, Хороо 17",Баянгол,https://www.unegui.mn/adv/9598011_modny-2t-tseverkhen-52m2-khemzheetei-2-oroo-bair-zarna/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,48.71 м²,3,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,175.36 сая₮үнэ тохирно,175.36,48.71,"УБ — Сүхбаатар, Сүхбаатар, Хороо 9",Сүхбаатар,https://www.unegui.mn/adv/9481780_baianburded-shineer-ashiglaltand-orokh-2-oroo-bair-m2-3500-000/,
Паркет,1 тагттай,2025,Байгаа,Төмөр вакум,16,Төмөр вакум,49.34 м²,10,Банкны зээлээр авах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,4.2 сая₮,4.2,49.34,"УБ — Сүхбаатар, Дөлгөөн нуур",Сүхбаатар,https://www.unegui.mn/adv/9547927_khotyn-tov-sbd-dolgoon-nuurt-shine-ashiglaltad-orson-nuuzh-orokhod-belen-2-oroo-zarn/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Төмөр,43.0 м²,12,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,238 сая₮үнэ тохирно,238.0,43.0,"УБ — Хан-Уул, 19-р хороолол",Хан-Уул,https://www.unegui.mn/adv/9465843_badrakh-khotkhon-tsoo-shine-2oroa-43-39m2/,
Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,54.74 м²,15,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,275 сая₮,275.0,54.74,"УБ — Хан-Уул, Яармаг",Хан-Уул,https://www.unegui.mn/adv/9596182_2uruu-bair-zarna/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Төмөр,48.0 м²,7,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,240 сая₮,240.0,48.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 11",Сүхбаатар,https://www.unegui.mn/adv/9539777_2-oroo-bair/,
Паркет,1 тагттай,2014,Байхгүй,Вакум,10,Бүргэд,44.1 м²,3,Банкны зээлээр авах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,200 сая₮үнэ тохирно,200.0,44.1,"УБ — Чингэлтэй, Чингэлтэй, Хороо 6",Чингэлтэй,https://www.unegui.mn/adv/9570127_sukhbaataryn-talbaigaas-2km-n-zaid-50-r-surguuliin-khazhuud-2-oroo-oron-suuts-khudal/,
Паркет,1 тагттай,2012,Байхгүй,Вакум,12,Төмөр,46.4 м²,5,Бэлэн төлөлтөөр зарах боломжтой,4,Ашиглалтад орсон,Цахилгаан шаттай,200 сая₮,200.0,46.4,"УБ — Баянгол, 25-р эмийн сан",Баянгол,https://www.unegui.mn/adv/9589877_2-oroo-bair-46-mk/,
Паркет,1 тагттай,1985,Байхгүй,Вакум,9,Төмөр,66.0 м²,1,Бэлэн төлөлтөөр зарах боломжтой,4,Ашиглалтад орсон,Цахилгаан шаттай,240 сая₮үнэ тохирно,240.0,66.0,"УБ — Чингэлтэй, Чингэлтэй, Хороо 6",Чингэлтэй,https://www.unegui.mn/adv/9594119_bayanburdiin-2-uruu-bair-zarna/?p=2,
Паркет,1 тагттай,1985,Байхгүй,Вакум,9,Төмөр,66.0 м²,1,Бэлэн төлөлтөөр зарах боломжтой,4,Ашиглалтад орсон,Цахилгаан шаттай,240 сая₮үнэ тохирно,240.0,66.0,"УБ — Чингэлтэй, Чингэлтэй, Хороо 6",Чингэлтэй,https://www.unegui.mn/adv/9594119_bayanburdiin-2-uruu-bair-zarna/,
